YEAR,COUNTRY,LOCATION,ALL_HOUSES_DESTROYED
1900,INDONESIA,BISMARCK SEA,1.0
1901,BULGARIA,BLACK SEA,1200.0
1901,JAPAN,OFF NORTHEAST COAST HONSHU,8.0
1909,JAPAN,"ANEGAWA, JAPAN",976.0
1911,PHILIPPINES,"TAAL, LUZON ISLAND",543.0
1911,JAPAN,RYUKYU ISLANDS,422.0
1914,JAPAN,SEIKAIDO,2268.0
1919,ITALY,STROMBOLI ISLAND,10.0
1922,TAIWAN,TAIWAN,139.0
1923,JAPAN,SAGAMI BAY,695000.0
1927,JAPAN,SW. HONSHU ISLAND,15594.0
1928,GREECE,EAST AEGEAN,2600.0
1928,GREECE,CORINTHOS-PATRAS GULF,3000.0
1930,PAPUA NEW GUINEA,BISMARCK SEA,104.0
1931,JAPAN,SEIKAIDO,14.0
1932,MEXICO,CENTRAL MEXICO,400.0
1932,INDONESIA,JAVA TRENCH,73.0
1932,GREECE,NORTH AEGEAN,4106.0
1933,JAPAN,SANRIKU,6000.0
1934,USA,S. CALIFORNIA,1.0
1936,INDONESIA,SULAWESI,169.0
1938,INDONESIA,BANDA SEA,24.0
1938,INDONESIA,MAKASSAR STRAIT,942.0
1938,JAPAN,E. HOKKAIDO ISLAND,7.0
1938,JAPAN,SANRIKU,20.0
1939,JAPAN,SEIKAIDO,1.0
1939,JAPAN,NW. HONSHU ISLAND,479.0
1940,JAPAN,W. HOKKAIDO ISLAND,20.0
1941,PAPUA NEW GUINEA,BISMARCK SEA,1.0
1941,JAPAN,SEIKAIDO,27.0
1944,ITALY,STROMBOLI ISlAND,1.0
1944,JAPAN,OFF SOUTHEAST COAST KII PENINSULA,29205.0
1945,JAPAN,TOKAIDO,7221.0
1945,JAPAN,SANRIKU,2.0
1946,JAPAN,HONSHU: S COAST,11661.0
1947,GREECE,"PELOPONNESUS, GREECE",7000.0
1948,GREECE,IONIAN SEA,244.0
1949,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",534.0
1951,TAIWAN,TAIWAN,2382.0
1952,JAPAN,SE. HOKKAIDO ISLAND,2422.0
1952,JAPAN,SE. HOKKAIDO ISLAND,113.0
1953,GREECE,IONIAN SEA,27773.0
1953,CYPRUS,LEVANTIAN SEA,500.0
1953,PERU,N. PERU,200.0
1954,ALGERIA,SEA OF ALBORAN,20000.0
1955,GREECE,VOLOS GULF,459.0
1960,CHILE,SOUTHERN CHILE,58622.0
1961,JAPAN,SEIKAIDO,170.0
1963,TURKEY,MARMARA SEA,7.0
1964,JAPAN,NW. HONSHU ISLAND,2250.0
1965,INDONESIA,SANANA ISLAND,3000.0
1967,INDONESIA,NORTHEAST SUMATRA,2000.0
1967,USA TERRITORY,NORTHERN COAST OF PUERTO RICO,80.0
1968,GREECE,"LEMNOS ISLAND, NORTH AEGEAN SEA",500.0
1968,JAPAN,OFF EAST COAST OF HONSHU ISLAND,1218.0
1968,INDONESIA,BANDA SEA,800.0
1968,TURKEY,BLACK SEA,2000.0
1969,INDONESIA,MAKASSAR STRAIT,1287.0
1969,EGYPT,GULF OF SUEZ,107.0
1970,PAPUA NEW GUINEA,PAPUA NEW GUINEA,800.0
1972,TAIWAN,E. TAIWAN,5.0
1973,JAPAN,HOKKAIDO ISLAND,2.0
1974,JAPAN,TOKAIDO,134.0
1975,INDONESIA,BANDA SEA,81.0
1975,PHILIPPINES,PHILIPPINE TRENCH,30.0
1978,JAPAN,TOKAIDO,85.0
1979,MEXICO,S. MEXICO,200.0
1979,INDONESIA,IRIAN JAYA,1000.0
1979,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",10000.0
1980,ALGERIA,EL ASNAM,250000.0
1981,GREECE,ATHENS-EASTERN GULF OF CORINTH,8000.0
1982,INDONESIA,FLORES SEA,1875.0
1983,JAPAN,"NOSHIRO, JAPAN",3513.0
1983,CHILE,NORTHERN CHILE,40.0
1988,SOLOMON ISLANDS,SOLOMON ISLANDS,100.0
1990,COSTA RICA,COSTA RICA,60.0
1992,NICARAGUA,NICARAGUA,1500.0
1992,INDONESIA,FLORES SEA,31785.0
1993,JAPAN,SEA OF JAPAN,2374.0
1994,USA,"WEST COAST, USA",40000.0
1994,INDONESIA,SOUTH OF JAVA,1500.0
1994,PHILIPPINES,PHILIPPINE ISLANDS,797.0
1995,JAPAN,"KOBE, JAPAN",200000.0
1995,CHILE,NORTHERN CHILE,115.0
1996,INDONESIA,SULAWESI,400.0
1996,INDONESIA,IRIAN JAYA,5043.0
1996,PERU,N. PERU,15.0
1997,SOLOMON ISLANDS,SANTA CRUZ IS. VANUATU,7.0
1998,INDONESIA,"TALIABU ISLAND,",1000.0
2000,PHILIPPINES,"TAWI-TAWI, PHILIPPINES",300.0
2000,INDONESIA,SULAWESI,10000.0
2001,EL SALVADOR,EL SALVADOR,108226.0
2001,PERU,S. PERU,25399.0
2002,TAIWAN,TAIWAN,100.0
2002,INDIA,"ANDAMAN ISLANDS, INDIA",40.0
2002,INDONESIA,IRIAN JAYA,1000.0
2003,MEXICO,S. MEXICO,2005.0
2003,ALGERIA,N. ALGERIA,43000.0
2004,INDONESIA,KEPULAUAN ALOR,781.0
2005,INDONESIA,INDONESIA,300.0
2005,JAPAN,E. COAST HONSHU ISLAND,1.0
2006,INDONESIA,SERAM ISLAND,241.0
2006,INDONESIA,SOUTH OF JAVA,1623.0
2007,JAPAN,HONSHU: W COAST,513.0
2007,SOLOMON ISLANDS,SOLOMON ISLANDS,2500.0
2007,JAPAN,HONSHU: W COAST,875.0
2007,RUSSIA,TATAR STRAIT,11.0
2007,PERU,S. PERU,39700.0
2007,INDONESIA,SUMATRA,56425.0
2008,CHINA,SICHUAN PROVINCE,5360000.0
2009,HONDURAS,OFF COAST,135.0
2009,JAPAN,HONSHU: S COAST,5192.0
2010,SOLOMON ISLANDS,SOLOMON ISLANDS,16.0
2010,HAITI,HAITI & DOMINICAN REPUBLIC,97294.0
2010,PERU,"513 LAKE, HUALCAN GLACIER",50.0
2010,INDONESIA,SUMATRA,700.0
2011,JAPAN,HONSHU ISLAND,127511.0
2012,MEXICO,S. MEXICO,800.0
2012,GUATEMALA,GUATEMALA,2769.0
2013,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,588.0
2013,PAKISTAN,OFF COAST GWADAR,32638.0
2014,EL SALVADOR,GULF OF FONSECA,5.0
2015,CHILE,CENTRAL CHILE,2305.0
2015,GREECE,IONIAN SEA,1.0
2016,ECUADOR,OFF COAST,6998.0
2016,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,1.0
2016,SOLOMON ISLANDS,SOLOMON ISLANDS,191.0
